Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Senior Business Intelligence Analyst,Bloom Energy,Mumbai,6-8 Yrs,6.0,8.0,Not Available,,,"Architecture, Automation, Business Analysis, Business Intelligence, Computer Science, Data Modeling, Forecasting, Healthcare",Business Intelligence,Business Intelligence,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-business-intelligence-analyst-bloom-energy-india-pvt-ltd-mumbai-6-to-8-years-190626503078,Business Intelligence
Senior Manager : Business Intelligence & Reporting,Bloom Energy,Mumbai,7-10 Yrs,7.0,10.0,Not Available,,,"Automation, Business Analysis, Business Intelligence, Data Modeling, Forecasting, Healthcare, Operations, Strategic Planning",Business Intelligence,Business Intelligence,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-manager-business-intelligence-reporting-bloom-energy-india-pvt-ltd-mumbai-7-to-10-years-170426500257,Business Intelligence
Data Scientist,Bloom Engineering,Bengaluru,Not Available,,,Unpaid,0.0,0.0,Not Available,Data Scientist,Data Scientist,Naukri,Starts in 1-3 months,On-site,https://www.naukri.com/job-listings-data-scientist-bloom-engineering-company-bengaluru-3-to-8-years-270726503902,Data Scientist
HR People Analytics Analyst,Bloom Engineering,Bengaluru,5-10 Yrs,5.0,10.0,Not Available,,,"Analytical, Automation, Data Analysis, Employee Engagement, Payroll, Talent Acquisition, Talent Management, Workforce Planning",Other Analyst,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-hr-people-analytics-analyst-bloom-engineering-company-bengaluru-5-to-10-years-020726501744,Other Analyst
Lead Developer | Power BI | ADF | SQL Data & Analytics,Bloomfieldx,Thanjavur,2-7 Yrs,2.0,7.0,Not Available,,,"Analytics, Data Quality, Microsoft, Monitoring, Orchestration, Power BI, Relationship Management, Stored Procedures",Business Intelligence,Power Bi,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-lead-developer-power-bi-adf-sql-data-analytics-bloomfieldx-thanjavur-2-to-7-years-210726502269,Business Intelligence
Oracle BI Developer,Blossoms Solutions,Hyderabad,4-9 Yrs,4.0,9.0,Not Available,,,"Analytical Skills, Data Modeling, Data Warehousing, Oracle, Oracle Bi, Oracle Erp, Troubleshooting, Warehouse",Business Intelligence,Bi Developer,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-oracle-bi-developer-blossoms-solutions-hyderabad-4-to-9-years-010524501020,Business Intelligence
PL / SQL Developer Intern,Blossoms Solutions,Hyderabad,Not Available,,,Unpaid,0.0,0.0,Not Available,SQL / Database,Sql,Naukri,Starts in 1-3 months,On-site,https://www.naukri.com/job-listings-pl-sql-developer-intern-blossoms-solutions-hyderabad-0-to-1-years-010524501023,SQL / Database
Business Analyst (Manufacturing Specific),Blue Chip Computers,Bengaluru(Kudlu Gate),5-8 Yrs,5.0,8.0,3-7 Lacs PA,3.0,7.0,"Business Analytics, Erp Implementation, Erp Next, Gap Analysis, Microsoft Dynamics, Odoo, Requirement Gathering, Uat",Business Analyst,Business Analyst,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-business-analyst-manufacturing-specific-blue-chip-computers-bengaluru-5-to-8-years-300726015028,Business Analyst
Data Scientist I,Blue Yonder,Hyderabad,1-6 Yrs,1.0,6.0,Not Available,,,"Artificial Intelligence, Automation Testing, Computer Science, Data Science, Google Cloud, Microsoft, Open Source, Supply Chain",Data Scientist,Data Scientist,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-scientist-i-blue-yonder-hyderabad-1-to-6-years-090426505704,Data Scientist
Sr Business Analytics Analyst - Data Analyst,Blue Yonder,Bengaluru,5-7 Yrs,5.0,7.0,Not Available,,,"Analytical, Application Development, Automation, Business Analytics, Data Modeling, Metadata, Solution Architecture, Version Control",Data Analyst,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-sr-business-analytics-analyst-data-analyst-jda-software-bengaluru-5-to-7-years-110626504223,Data Analyst
"Sr. Data Science Consultant - Machine Learning,Python",Blue Yonder,Bengaluru,4-7 Yrs,4.0,7.0,Not Available,,,"Analytical, Data Collection, Data Mining, Data Quality, Data Science, Forecasting, Operations Research, Supply Chain",Data Scientist,Machine Learning,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-sr-data-science-consultant-machine-learning-python-jda-software-bengaluru-4-to-7-years-230726502378,Data Scientist
Architect Business analyst,Blueberry Digital Labs,Hyderabad,1-3 Yrs,1.0,3.0,Not Available,,,"Architect, Business Analyst, Management, Manager Technology, Monitoring, Qc, Research, Sez",Business Analyst,Business Analyst,Naukri,6 days ago,On-site,https://www.naukri.com/job-listings-architect-business-analyst-blueberry-labs-hyderabad-1-to-3-years-240726507444,Business Analyst
Business analyst,Blueberry Digital Labs,Hyderabad,1-3 Yrs,1.0,3.0,Not Available,,,"Business Analyst, Management, Manager Technology, Monitoring, Qc, Research, Sez, Team Management",Business Analyst,Business Analyst,Naukri,6 days ago,On-site,https://www.naukri.com/job-listings-business-analyst-blueberry-labs-hyderabad-1-to-3-years-240726507443,Business Analyst
